name,sector,synthetic,model,country,estimate,stderr,conf_estimate,conf_stderr,Lstar,Ustar,Lconf,Uconf,Uover,Lover,norm_estimate,std_estimate,model_name,sector_country,Jkt
Ln Pay,Private,TRUE,System GMM,Canada,0.4562,6e-4,0.8854,2e-4,0.455024,0.457376,0.885008,0.8857919999999999,0.457376,0.885008,-0.42919999999999997,2145.9999999999995,"System GMM, Private","Canada, Private",-363.63265306125993
Ln Pay,Manufacturing,TRUE,System GMM,Canada,0.4022,0.0033,0.8161,0.0012,0.39573200000000003,0.408668,0.813748,0.8184520000000001,0.408668,0.813748,-0.41390000000000005,344.91666666666674,"System GMM, Manufacturing","Canada, Manufacturing",-58.71405380333921
Age 3-4,Private,TRUE,System GMM,Canada,-0.1828,4e-4,-0.0555,2e-4,-0.183584,-0.18201599999999998,-0.055892,-0.055108000000000004,-0.18201599999999998,-0.055892,-0.1273,636.5,"System GMM, Private","Canada, Private",-120.65433673469423
Age 3-4,Manufacturing,TRUE,System GMM,Canada,-0.3177,0.0028,-0.1097,0.0012,-0.323188,-0.312212,-0.11205200000000001,-0.107348,-0.312212,-0.11205200000000001,-0.20799999999999996,173.33333333333331,"System GMM, Manufacturing","Canada, Manufacturing",-30.393586005830848
Age 5-7,Private,TRUE,System GMM,Canada,-0.186,5e-4,-0.0558,2e-4,-0.18698,-0.18502,-0.056192000000000006,-0.055408,-0.18502,-0.056192000000000006,-0.13019999999999998,650.9999999999999,"System GMM, Private","Canada, Private",-115.02499999999898
Age 5-7,Manufacturing,TRUE,System GMM,Canada,-0.3408,0.0031,-0.1201,0.0013,-0.346876,-0.33472399999999997,-0.122648,-0.117552,-0.33472399999999997,-0.122648,-0.2207,169.76923076923077,"System GMM, Manufacturing","Canada, Manufacturing",-29.534055805945208
Age 8-12,Private,TRUE,System GMM,Canada,-0.1875,5e-4,-0.0548,2e-4,-0.18848,-0.18652,-0.055192000000000005,-0.054408,-0.18652,-0.055192000000000005,-0.13269999999999998,663.4999999999999,"System GMM, Private","Canada, Private",-117.25714285714182
Age 8-12,Manufacturing,TRUE,System GMM,Canada,-0.3583,0.0036,-0.1298,0.0014,-0.365356,-0.351244,-0.132544,-0.127056,-0.351244,-0.132544,-0.2285,163.21428571428572,"System GMM, Manufacturing","Canada, Manufacturing",-27.674016034985442
Age 13 or more,Private,TRUE,System GMM,Canada,-0.1943,6e-4,-0.0524,2e-4,-0.195476,-0.193124,-0.052792000000000006,-0.052008,-0.193124,-0.052792000000000006,-0.1419,709.5,"System GMM, Private","Canada, Private",-119.32993197278805
Age 13 or more,Manufacturing,TRUE,System GMM,Canada,-0.3747,0.0041,-0.1317,0.0016,-0.38273599999999997,-0.366664,-0.134836,-0.128564,-0.366664,-0.134836,-0.24299999999999997,151.87499999999997,"System GMM, Manufacturing","Canada, Manufacturing",-25.69335645843704
N,Private,TRUE,System GMM,Canada,13573225,NA,15708195,NA,NA,NA,NA,NA,NA,NA,-2134970,NA,"System GMM, Private","Canada, Private",NA
N,Manufacturing,TRUE,System GMM,Canada,959764,NA,1015293,NA,NA,NA,NA,NA,NA,NA,-55529,NA,"System GMM, Manufacturing","Canada, Manufacturing",NA
m2,Private,TRUE,System GMM,Canada,-41.6,NA,-11.43,NA,NA,NA,NA,NA,NA,NA,-30.17,NA,"System GMM, Private","Canada, Private",NA
m2,Manufacturing,TRUE,System GMM,Canada,-7.67,NA,1.39,NA,NA,NA,NA,NA,NA,NA,-9.06,NA,"System GMM, Manufacturing","Canada, Manufacturing",NA
Sargan test,Private,TRUE,System GMM,Canada,18000,NA,77000,NA,NA,NA,NA,NA,NA,NA,-59000,NA,"System GMM, Private","Canada, Private",NA
Sargan test,Manufacturing,TRUE,System GMM,Canada,1700,NA,6300,NA,NA,NA,NA,NA,NA,NA,-4600,NA,"System GMM, Manufacturing","Canada, Manufacturing",NA
df of Sargan Test,Private,TRUE,System GMM,Canada,274,NA,274,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM, Private","Canada, Private",NA
df of Sargan Test,Manufacturing,TRUE,System GMM,Canada,274,NA,274,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM, Manufacturing","Canada, Manufacturing",NA
P value of Sargan test,Private,TRUE,System GMM,Canada,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM, Private","Canada, Private",NA
P value of Sargan test,Manufacturing,TRUE,System GMM,Canada,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"System GMM, Manufacturing","Canada, Manufacturing",NA
AR(1) Coefficient,Private,TRUE,OLS,Canada,0.397,2e-4,0.2031,1e-4,0.396608,0.397392,0.202904,0.203296,0.203296,0.396608,0.19390000000000002,1939,"OLS, Private","Canada, Private",-369.85714285713965
